# chip channel x_steps y_steps notes
  1    A1      3099    2592
  1    A2      139     2589
  1    B1      3099    5552    extrapolated	
  1    B2      139     5549    extrapolated
  0    C1      9304    14468   hama1 + cad
  0    C2      12274   14497   hama1 + cad
  0    C3      15241   14509   hama1 + cad
  0    C4      18195   14536   hama1 + cad
  0    D1      9304    10748   hama1 + cad
  0    D2      12274   10777   hama1 + cad
  0    D3      15241   10799   hama1 + cad
  0    D4      18195   10816   hama1 + cad
  0    E1      9387    6308    hama1 + cad
  0    E2      12334   6337    hama1 + cad
  0    E3      15334   6359    hama1 + cad
  0    E4      18255   6376    hama1 + cad
  0    F1      9387    2588    hama1
  0    F2      12334   2617    hama1
  0    F3      15334   2639    hama1
  0    F4      18255   2656    hama1
  
